,CO_MUNICIPIO_RESIDENCIA,NO_MUNICIPIO_RESIDENCIA,CO_UF_RESIDENCIA,SG_UF_RESIDENCIA,NU_NOTA_CN,NU_NOTA_CH,NU_NOTA_LC,NU_NOTA_MT,NU_NOTA_REDACAO
593,2108603,Pinheiro,21,MA,470.27162576687186,541.7047688921498,498.2201760821721,492.957055214725,463.4556126192223
594,2108702,Pio XII,21,MA,457.9277777777777,520.3770601336302,483.3394209354122,482.85231481481475,450.6904231625835
595,2108801,Pirapemas,21,MA,448.5496598639455,510.3258064516129,472.6799999999999,470.7979591836734,460.64516129032256
596,2108900,Poção de Pedras,21,MA,463.2696335078534,524.3198067632851,479.172463768116,486.7848167539265,445.6038647342995
597,2109007,Porto Franco,21,MA,469.2069343065693,549.4631487889271,501.94809688581375,506.6000000000001,475.70934256055364
598,2109056,Porto Rico do Maranhão,21,MA,459.96285714285716,508.7226666666667,470.8693333333333,476.0471428571429,449.3333333333333
599,2109106,Presidente Dutra,21,MA,467.74051948051937,540.6954151177192,500.16790582403894,500.4096103896103,466.542750929368
600,2109205,Presidente Juscelino,21,MA,454.1056603773586,514.6315151515151,482.35393939393947,476.7584905660379,446.7878787878788
601,2109239,Presidente Médici,21,MA,462.99680851063835,549.6750000000001,500.5499999999998,496.07340425531925,483.9583333333333
602,2109270,Presidente Sarney,21,MA,457.11258278145715,521.6859872611466,473.3732484076434,483.6900662251657,447.0063694267516
603,2109304,Presidente Vargas,21,MA,452.4713114754095,504.7507936507937,468.3428571428572,473.27213114754113,433.968253968254
604,2109403,Primeira Cruz,21,MA,441.93454545454557,518.62,476.70909090909106,467.16,407.6363636363636
605,2109452,Raposa,21,MA,456.7558962264153,529.796325167038,490.07973273942054,486.4093160377358,457.06013363028956
606,2109502,Riachão,21,MA,455.14564459930307,524.5758278145695,482.02152317880757,479.7031358885018,437.21854304635764
607,2109551,Ribamar Fiquene,21,MA,459.0017094017093,531.0137096774195,476.94838709677407,488.7683760683761,432.4193548387097
608,2109601,Rosário,21,MA,456.9017027863777,531.1155197657401,496.1210834553443,491.1038699690408,443.0453879941435
609,2109700,Sambaíba,21,MA,461.7543859649124,528.1389830508474,477.46440677966086,483.1999999999997,416.9491525423729
610,2109759,Santa Filomena do Maranhão,21,MA,444.71304347826094,517.0339622641509,461.6207547169813,486.0586956521741,390.188679245283
611,2109809,Santa Helena,21,MA,460.4102083333336,532.2579766536969,485.78365758754904,482.7243750000003,465.7198443579766
612,2109908,Santa Inês,21,MA,469.1660442073168,536.707711803041,497.66763215061513,499.3996570121959,463.78711078928313
613,2110005,Santa Luzia,21,MA,456.6780799999997,529.4506891271056,485.431699846861,500.39008000000075,434.11944869831547
614,2110039,Santa Luzia do Paruá,21,MA,454.3933797909407,513.560130718954,483.37450980392157,488.0376306620213,437.58169934640523
615,2110104,Santa Quitéria do Maranhão,21,MA,454.5257446808512,524.816666666667,478.285833333333,487.14702127659564,444.125
616,2110203,Santa Rita,21,MA,454.1985890652555,527.1934782608693,481.4819397993308,483.5897707231044,418.0602006688963
617,2110237,Santana do Maranhão,21,MA,457.56357142857166,528.0865771812079,482.7637583892617,487.5114285714287,421.744966442953
618,2110278,Santo Amaro do Maranhão,21,MA,435.8521739130436,510.85625,454.75833333333327,480.6760869565218,404.1666666666667
619,2110302,Santo Antônio dos Lopes,21,MA,464.2517441860469,544.9785714285714,496.1549450549453,506.79941860465135,510.989010989011
620,2110401,São Benedito do Rio Preto,21,MA,447.9054298642533,510.5303571428571,470.2620535714289,478.4348416289595,421.9642857142857
621,2110500,São Bento,21,MA,458.7032786885244,524.1474642392714,479.37087126137874,486.51775956284115,429.85695708712615
622,2110609,São Bernardo,21,MA,451.75057692307684,511.2435185185184,479.6916666666666,481.3251923076925,425.4074074074074
623,2110658,São Domingos do Azeitão,21,MA,460.1914529914528,524.5847457627119,482.7932203389828,479.17008547008544,455.08474576271186
624,2110708,São Domingos do Maranhão,21,MA,466.0746902654864,527.5759663865542,483.265210084033,499.65805309734503,434.5546218487395
625,2110807,São Félix de Balsas,21,MA,439.3448275862069,518.0909090909091,462.95151515151525,469.2758620689655,354.54545454545456
626,2110856,São Francisco do Brejão,21,MA,470.2242105263155,546.2888888888888,493.8509259259259,505.5368421052631,500.9259259259259
627,2110906,São Francisco do Maranhão,21,MA,445.72295081967223,514.8566137566141,468.57354497354504,473.7934426229508,440.5291005291005
628,2111003,São João Batista,21,MA,445.4731914893615,508.91839999999985,466.9187999999998,464.12553191489366,389.6
629,2111029,São João do Carú,21,MA,437.03092783505133,516.251376146789,466.6899082568804,472.38659793814423,400.1834862385321
630,2111052,São João do Paraíso,21,MA,457.68217054263573,519.164925373134,474.7417910447763,474.7279069767442,437.6119402985075
631,2111078,São João do Soter,21,MA,444.380612244898,512.4371287128712,461.7217821782178,468.87653061224484,410.6930693069307
632,2111102,São João dos Patos,21,MA,470.16853146853174,541.8987886944823,494.81843876177703,500.8650349650355,464.03768506056525
633,2111201,São José de Ribamar,21,MA,472.2770804039344,546.8949844385928,505.5895858271485,500.2407771954495,469.0615274120182
634,2111250,São José dos Basílios,21,MA,462.48100000000005,527.0858490566039,487.370754716981,509.079,440.188679245283
635,2111300,São Luís,21,MA,480.16560062551326,556.4675658085081,514.1752531096365,512.4266128878423,487.6334249349147
636,2111409,São Luís Gonzaga do Maranhão,21,MA,452.1556886227544,516.7748554913296,473.69335260115605,481.5398203592817,413.0635838150289
637,2111508,São Mateus do Maranhão,21,MA,455.86424778761096,526.6154882154884,487.0343434343435,490.58265486725696,450.4040404040404
638,2111532,São Pedro da Água Branca,21,MA,450.97887323943655,504.10135135135147,464.854054054054,486.79999999999984,431.8918918918919
639,2111573,São Pedro dos Crentes,21,MA,441.64069767441856,528.680681818182,478.75340909090903,464.9744186046512,432.04545454545456
640,2111607,São Raimundo das Mangabeiras,21,MA,463.4224381625443,530.3974747474742,481.27710437710454,490.1809187279155,446.6666666666667
641,2111631,São Raimundo do Doca Bezerra,21,MA,459.0607142857142,530.2966666666666,485.83333333333337,487.35535714285714,444.6666666666667
642,2111672,São Roberto,21,MA,448.7526315789472,516.1807692307692,484.00769230769237,475.5105263157895,471.02564102564105
643,2111706,São Vicente Ferrer,21,MA,456.153153153153,510.54217391304326,464.1304347826085,467.40315315315314,393.5652173913044
644,2111722,Satubinha,21,MA,454.13709677419354,521.0077519379846,476.2984496124033,481.3145161290323,414.4186046511628
645,2111748,Senador Alexandre Costa,21,MA,453.1988505747126,519.0067415730337,471.2792134831458,483.8385057471264,426.85393258426967
646,2111763,Senador La Rocque,21,MA,458.927968337731,528.4130548302873,485.4386422976503,482.5472295514509,449.08616187989554
647,2111789,Serrano do Maranhão,21,MA,451.7833333333332,518.658620689655,465.72528735632216,488.96309523809515,405.7471264367816
648,2111805,Sítio Novo,21,MA,450.8902985074626,508.416304347826,470.6057971014491,477.7794776119402,395.5072463768116
649,2111904,Sucupira do Norte,21,MA,449.85190839694644,510.1940740740741,475.94222222222226,481.67938931297704,423.7037037037037
650,2111953,Sucupira do Riachão,21,MA,472.2129999999998,549.7114285714283,493.99047619047604,496.7799999999999,423.42857142857144
651,2112001,Tasso Fragoso,21,MA,450.5874074074075,509.51643835616454,474.6321917808218,476.4162962962965,442.73972602739724
652,2112100,Timbiras,21,MA,448.6355357142854,521.4864261168389,472.44432989690705,477.67875,424.02061855670104
653,2112209,Timon,21,MA,474.03562836997054,543.7616979269495,504.0392497532088,506.14099958523406,481.60315893385985
654,2112233,Trizidela do Vale,21,MA,468.9967164179106,543.0592178770952,498.411173184357,505.7910447761194,486.0335195530726
655,2112274,Tufilândia,21,MA,454.5470588235294,528.7657142857142,495.2085714285714,493.79117647058825,477.7142857142857
656,2112308,Tuntum,21,MA,461.96428571428606,523.6173708920187,483.2298122065729,499.2928571428574,421.92488262910797
657,2112407,Turiaçu,21,MA,442.84495114006484,505.9420731707317,464.51128048780515,481.097719869707,383.4146341463415
658,2112456,Turilândia,21,MA,454.83743315508,523.7293193717276,476.1628272251309,491.8149732620322,454.24083769633506
659,2112506,Tutóia,21,MA,463.76417910447765,531.4875675675673,492.2464864864867,494.72108208955257,456.2162162162162
660,2112605,Urbano Santos,21,MA,450.5073170731705,524.8406032482602,481.31484918793507,487.9963414634141,439.02552204176334
